Abbreviation,Ability,Summary,Rules
AC X/X/X,Autocannon,Tracks an Element's damage with autocannon weapons,"This ability tracks an Element's light and standard autocannon damage if it can do 10 or more points of damage. This ability allows an Element to use specialty ammo (see Alternate Munitions, p.  308)."
AECM,Angel ECM,Blocks Active Probe (PRB) and C3 with additional range,"An Angel ECM suite has all the advantages of a standard ECM suite. Additionally, it blocks Bloodhound Probes as if they were Active Probes. Angel ECM is treated as two standard ECM suites."
AFC,Advanced Fire Control,Disregards some to-hit modifiers,IndustrialMechs and Support Elements equipped with Advanced Fire Control do not add to-hit modifiers for their Element type.
AM,Anti-'Mech,Make swarming attacks,Elements with this ability may make swarming attacks as described in Specialty Infantry (see p. 322).
AMP,Amphibious,Non-naval Element capable of water movement,"This ability makes a non-naval Element capable of water movement. Amphibious Elements pay a total of 2 MP per water hex traversed and move as a surface Naval Element in water, except that they freely move in and out of water hexes."
AMS,Anti-Missile System,"Reduce damage by 1 if attacker has the IF, LRM, or SRM abilities.","An Element with an AMS reduces by 1 the damage of strikes by attackers with the Indirect Fire (IF), LRM, or SRM abilities (to a minimum of 1) as long as the attack comes from the front."
ARM,Armored Component,Ignore the first critical hit,"An Element with this ability ignores the first critical hit chance rolled against it. The first time circumstances arise that would normally generate an opportunity for a critical hit (such as structure damage), the chance is lost."
ARS,Armored Motive System,-1/-2 on Motive Systems damage checks,"An Element with this special ability applies a -1 modifier on the Chance for Motive Systems Damage roll and a -2 modifier for the Effect of Motive Systems Damage roll (see Determining Motive Systems Damage Table, p. 232)."
ARTAC-#,"Artillery, Arrow IV (Clan)",Element has an artillery attack,"This special ability lets an Element make an artillery attack. Record each type of artillery separately. If an Element has multiple artillery weapons, include the number ofeach. For example, an Element with two Long Toms would record this ability as ARTLT-2. Refer to the Artillery Abbreviations Table, on page 344 (see the Bomb (BOMB#) special ability, p. 346, for Arrow-IV missiles as bombs)."
ARTAIS-#,"Artillery, Arrow IV (IS)",Element has an artillery attack,"This special ability lets an Element make an artillery attack. Record each type of artillery separately. If an Element has multiple artillery weapons, include the number ofeach. For example, an Element with two Long Toms would record this ability as ARTLT-2. Refer to the Artillery Abbreviations Table, on page 344 (see the Bomb (BOMB#) special ability, p. 346, for Arrow-IV missiles as bombs)."
